,Iteraties (0 indexed),Statistiek,Score (n_runs=20)
0,0,mean,5158.770786516854
1,1,mean,5175.7887640449435
2,2,mean,5185.220786516855
3,3,mean,5185.570786516853
4,4,mean,5190.134831460675
5,5,mean,5210.752808988765
6,6,mean,5231.452808988764
7,7,mean,5243.270786516855
8,8,mean,5253.738764044944
9,9,mean,5269.888764044944
10,10,mean,5278.892696629214
11,11,mean,5284.942696629214
12,12,mean,5294.392696629214
13,13,mean,5297.974719101124
14,14,mean,5302.5387640449435
15,15,mean,5303.2887640449435
16,16,mean,5320.324719101123
17,17,mean,5345.4606741573025
18,18,mean,5350.9606741573025
19,19,mean,5359.260674157303
20,20,mean,5359.474719101124
21,21,mean,5364.656741573034
22,22,mean,5365.706741573034
23,23,mean,5365.706741573034
24,24,mean,5367.6207865168535
25,25,mean,5369.502808988765
26,26,mean,5379.252808988765
27,27,mean,5379.252808988765
28,28,mean,5381.502808988765
29,29,mean,5381.502808988765
30,30,mean,5382.902808988764
31,31,mean,5386.202808988764
32,32,mean,5395.020786516854
33,33,mean,5396.002808988765
34,34,mean,5399.420786516854
35,35,mean,5404.602808988764
36,36,mean,5408.070786516853
37,37,mean,5407.8707865168535
38,38,mean,5418.938764044944
39,39,mean,5418.938764044944
40,40,mean,5423.688764044944
41,41,mean,5435.238764044944
42,42,mean,5441.552808988765
43,43,mean,5441.552808988765
44,44,mean,5444.534831460674
45,45,mean,5455.480898876404
46,46,mean,5461.798876404494
47,47,mean,5461.798876404494
48,48,mean,5468.734831460673
49,49,mean,5472.484831460673
50,50,mean,5481.020786516854
51,51,mean,5486.502808988765
52,52,mean,5493.738764044943
53,53,mean,5493.738764044943
54,54,mean,5494.588764044943
55,55,mean,5495.788764044943
56,56,mean,5495.788764044943
57,57,mean,5495.788764044943
58,58,mean,5495.788764044943
59,59,mean,5499.138764044945
60,60,mean,5499.138764044945
61,61,mean,5502.638764044945
62,62,mean,5506.256741573035
63,63,mean,5506.256741573035
64,64,mean,5509.524719101124
65,65,mean,5509.524719101124
66,66,mean,5509.524719101124
67,67,mean,5512.056741573035
68,68,mean,5516.624719101123
69,69,mean,5524.310674157304
70,70,mean,5535.060674157304
71,71,mean,5535.060674157304
72,72,mean,5551.764606741573
73,73,mean,5566.4325842696635
74,74,mean,5570.614606741574
75,75,mean,5572.164606741573
76,76,mean,5577.114606741574
77,77,mean,5580.132584269662
78,78,mean,5580.364606741573
79,79,mean,5580.264606741573
80,80,mean,5580.514606741573
81,81,mean,5580.514606741573
82,82,mean,5580.514606741573
83,83,mean,5580.546629213483
84,84,mean,5580.728651685393
85,85,mean,5586.178651685393
86,86,mean,5586.492696629213
87,87,mean,5586.492696629213
88,88,mean,5586.492696629213
89,89,mean,5591.592696629213
90,90,mean,5600.010674157304
91,91,mean,5600.010674157304
92,92,mean,5600.174719101124
93,93,mean,5600.174719101124
94,94,mean,5600.874719101123
95,95,mean,5600.874719101123
96,96,mean,5606.410674157303
97,97,mean,5607.310674157304
98,98,mean,5607.310674157304
99,99,mean,5607.310674157304
100,100,mean,5607.310674157304
101,101,mean,5607.842696629214
102,102,mean,5607.774719101123
103,103,mean,5607.774719101123
104,104,mean,5610.342696629214
105,105,mean,5610.342696629214
106,106,mean,5610.342696629214
107,107,mean,5610.342696629214
108,108,mean,5610.342696629214
109,109,mean,5610.474719101123
110,110,mean,5610.474719101123
111,111,mean,5620.742696629213
112,112,mean,5623.842696629214
113,113,mean,5625.192696629214
114,114,mean,5625.342696629214
115,115,mean,5626.924719101123
116,116,mean,5626.924719101123
117,117,mean,5629.924719101123
118,118,mean,5629.924719101123
119,119,mean,5635.324719101123
120,120,mean,5635.324719101123
121,121,mean,5635.324719101123
122,122,mean,5635.324719101123
123,123,mean,5647.796629213482
124,124,mean,5652.864606741573
125,125,mean,5654.514606741573
126,126,mean,5655.064606741573
127,127,mean,5655.764606741573
128,128,mean,5655.764606741573
129,129,mean,5655.764606741573
130,130,mean,5656.346629213483
131,131,mean,5658.046629213482
132,132,mean,5658.046629213482
133,133,mean,5658.046629213482
134,134,mean,5658.046629213482
135,135,mean,5660.7646067415735
136,136,mean,5671.750561797753
137,137,mean,5671.750561797753
138,138,mean,5671.750561797753
139,139,mean,5673.850561797753
140,140,mean,5686.068539325842
141,141,mean,5688.636516853932
142,142,mean,5689.218539325842
143,143,mean,5689.218539325842
144,144,mean,5691.718539325842
145,145,mean,5694.268539325842
146,146,mean,5694.268539325842
147,147,mean,5694.268539325842
148,148,mean,5694.268539325842
149,149,mean,5694.268539325842
150,150,mean,5702.654494382022
151,151,mean,5702.654494382022
152,152,mean,5702.786516853933
153,153,mean,5702.786516853933
154,154,mean,5702.786516853933
155,155,mean,5702.786516853933
156,156,mean,5702.786516853933
157,157,mean,5702.786516853933
158,158,mean,5702.786516853933
159,159,mean,5702.786516853933
160,160,mean,5710.722471910112
161,161,mean,5710.722471910112
162,162,mean,5710.722471910112
163,163,mean,5710.722471910112
164,164,mean,5710.722471910112
165,165,mean,5715.740449438203
166,166,mean,5715.740449438203
167,167,mean,5715.740449438203
168,168,mean,5715.740449438203
169,169,mean,5720.708426966292
170,170,mean,5728.594382022472
171,171,mean,5728.594382022472
172,172,mean,5728.594382022472
173,173,mean,5728.726404494382
174,174,mean,5728.726404494382
175,175,mean,5729.726404494382
176,176,mean,5729.726404494382
177,177,mean,5729.726404494382
178,178,mean,5732.644382022471
179,179,mean,5732.644382022471
180,180,mean,5732.644382022471
181,181,mean,5732.644382022471
182,182,mean,5732.1943820224715
183,183,mean,5732.1943820224715
184,184,mean,5737.794382022471
185,185,mean,5737.794382022471
186,186,mean,5737.794382022471
187,187,mean,5737.794382022471
188,188,mean,5737.794382022471
189,189,mean,5737.794382022471
190,190,mean,5737.794382022471
191,191,mean,5737.794382022471
192,192,mean,5737.794382022471
193,193,mean,5737.794382022471
194,194,mean,5737.794382022471
195,195,mean,5737.794382022471
196,196,mean,5737.794382022471
197,197,mean,5737.794382022471
198,198,mean,5737.794382022471
199,199,mean,5737.794382022471
200,200,mean,5737.794382022471
201,201,mean,5737.794382022471
202,202,mean,5737.794382022471
203,203,mean,5737.794382022471
204,204,mean,5737.794382022471
205,205,mean,5740.012359550562
206,206,mean,5741.980337078651
207,207,mean,5741.980337078651
208,208,mean,5741.980337078651
209,209,mean,5741.980337078651
210,210,mean,5742.662359550562
211,211,mean,5742.662359550562
212,212,mean,5747.330337078651
213,213,mean,5751.548314606741
214,214,mean,5751.548314606741
215,215,mean,5751.580337078652
216,216,mean,5752.080337078652
217,217,mean,5752.080337078652
218,218,mean,5752.080337078652
219,219,mean,5753.180337078652
220,220,mean,5753.180337078652
221,221,mean,5754.080337078652
222,222,mean,5760.648314606741
223,223,mean,5761.198314606741
224,224,mean,5763.866292134831
225,225,mean,5770.384269662921
226,226,mean,5770.384269662921
227,227,mean,5770.384269662921
228,228,mean,5770.766292134831
229,229,mean,5770.766292134831
230,230,mean,5770.766292134831
231,231,mean,5770.766292134831
232,232,mean,5770.766292134831
233,233,mean,5773.998314606741
234,234,mean,5773.998314606741
235,235,mean,5773.998314606741
236,236,mean,5773.998314606741
237,237,mean,5775.880337078652
238,238,mean,5775.880337078652
239,239,mean,5775.880337078652
240,240,mean,5775.880337078652
241,241,mean,5775.880337078652
242,242,mean,5775.880337078652
243,243,mean,5775.880337078652
244,244,mean,5775.880337078652
245,245,mean,5775.880337078652
246,246,mean,5775.880337078652
247,247,mean,5775.880337078652
