,Iteraties (0 indexed),Statistiek,Score (n_runs=12)
0,0,mean,4943.926029962547
1,1,mean,4972.5159176029965
2,2,mean,4977.152621722847
3,3,mean,4979.1226591760305
4,4,mean,4989.426029962548
5,5,mean,5018.2893258426975
6,6,mean,5018.2893258426975
7,7,mean,5025.319288389514
8,8,mean,5042.295880149814
9,9,mean,5042.295880149814
10,10,mean,5045.545880149814
11,11,mean,5046.765917602997
12,12,mean,5055.069288389514
13,13,mean,5054.509363295881
14,14,mean,5079.789325842697
15,15,mean,5106.705992509364
16,16,mean,5106.705992509364
17,17,mean,5107.902621722847
18,18,mean,5112.3726591760305
19,19,mean,5116.592696629214
20,20,mean,5116.592696629214
21,21,mean,5125.426029962547
22,22,mean,5127.676029962547
23,23,mean,5130.062734082397
24,24,mean,5130.062734082397
25,25,mean,5130.062734082397
26,26,mean,5131.616104868915
27,27,mean,5132.919475655431
28,28,mean,5144.116104868915
29,29,mean,5163.782771535581
30,30,mean,5163.782771535581
31,31,mean,5163.782771535581
32,32,mean,5163.782771535581
33,33,mean,5177.562734082398
34,34,mean,5191.842696629214
35,35,mean,5193.009363295881
36,36,mean,5197.342696629214
37,37,mean,5211.8192883895135
38,38,mean,5211.8192883895135
39,39,mean,5211.8192883895135
40,40,mean,5219.9325842696635
41,41,mean,5225.2359550561805
42,42,mean,5240.676029962547
43,43,mean,5242.509363295881
44,44,mean,5243.229400749064
45,45,mean,5243.926029962547
46,46,mean,5250.116104868915
47,47,mean,5258.646067415731
48,48,mean,5261.5926966292145
49,49,mean,5265.479400749065
50,50,mean,5265.479400749065
51,51,mean,5272.032771535581
52,52,mean,5284.646067415731
53,53,mean,5292.8426966292145
54,54,mean,5305.705992509364
55,55,mean,5305.705992509364
56,56,mean,5326.009363295881
57,57,mean,5326.009363295881
58,58,mean,5326.009363295881
59,59,mean,5326.009363295881
60,60,mean,5326.009363295881
61,61,mean,5325.926029962547
62,62,mean,5330.342696629214
63,63,mean,5330.342696629214
64,64,mean,5338.039325842697
65,65,mean,5351.9859550561805
66,66,mean,5375.9091760299625
67,67,mean,5375.9091760299625
68,68,mean,5381.742509363296
69,69,mean,5391.689138576779
70,70,mean,5391.689138576779
71,71,mean,5408.8558052434455
72,72,mean,5408.9925093632955
73,73,mean,5410.4091760299625
74,74,mean,5414.7724719101125
75,75,mean,5421.8024344569285
76,76,mean,5422.5524344569285
77,77,mean,5424.7191011235955
78,78,mean,5430.385767790262
79,79,mean,5430.385767790262
80,80,mean,5440.082397003745
81,81,mean,5440.082397003745
82,82,mean,5440.082397003745
83,83,mean,5441.135767790262
84,84,mean,5441.135767790262
85,85,mean,5441.135767790262
86,86,mean,5444.3024344569285
87,87,mean,5444.3024344569285
88,88,mean,5444.3024344569285
89,89,mean,5443.9691011235955
90,90,mean,5443.9691011235955
91,91,mean,5443.9691011235955
92,92,mean,5443.9691011235955
93,93,mean,5444.385767790262
94,94,mean,5444.385767790262
95,95,mean,5444.385767790262
96,96,mean,5444.385767790262
97,97,mean,5445.082397003745
98,98,mean,5447.8258426966295
99,99,mean,5447.8258426966295
100,100,mean,5447.8258426966295
101,101,mean,5447.8258426966295
102,102,mean,5453.9091760299625
103,103,mean,5453.9091760299625
104,104,mean,5461.295880149813
105,105,mean,5461.295880149813
106,106,mean,5461.295880149813
107,107,mean,5461.295880149813
108,108,mean,5461.295880149813
109,109,mean,5467.492509363296
110,110,mean,5467.492509363296
111,111,mean,5475.32584269663
112,112,mean,5475.32584269663
113,113,mean,5479.409176029963
114,114,mean,5479.409176029963
115,115,mean,5479.96254681648
116,116,mean,5486.992509363296
117,117,mean,5486.992509363296
118,118,mean,5487.82584269663
119,119,mean,5487.82584269663
120,120,mean,5487.82584269663
121,121,mean,5487.82584269663
122,122,mean,5487.82584269663
123,123,mean,5495.68913857678
124,124,mean,5495.68913857678
125,125,mean,5510.6657303370785
126,126,mean,5510.6657303370785
127,127,mean,5515.6657303370785
128,128,mean,5515.6657303370785
129,129,mean,5515.6657303370785
130,130,mean,5515.6657303370785
131,131,mean,5515.6657303370785
132,132,mean,5515.832397003745
133,133,mean,5515.832397003745
134,134,mean,5515.832397003745
135,135,mean,5515.832397003745
136,136,mean,5515.832397003745
137,137,mean,5521.445692883896
138,138,mean,5521.945692883896
139,139,mean,5521.945692883896
140,140,mean,5521.945692883896
141,141,mean,5521.945692883896
142,142,mean,5521.945692883896
143,143,mean,5521.945692883896
144,144,mean,5521.945692883896
145,145,mean,5521.945692883896
146,146,mean,5521.945692883896
147,147,mean,5521.945692883896
148,148,mean,5526.308988764045
149,149,mean,5526.77902621723
150,150,mean,5526.77902621723
151,151,mean,5526.612359550563
152,152,mean,5526.612359550563
153,153,mean,5526.612359550563
154,154,mean,5526.612359550563
155,155,mean,5525.362359550563
156,156,mean,5525.362359550563
157,157,mean,5525.362359550563
158,158,mean,5525.945692883896
159,159,mean,5525.945692883896
160,160,mean,5525.945692883896
161,161,mean,5539.0889513108605
162,162,mean,5539.0889513108605
163,163,mean,5539.0889513108605
164,164,mean,5543.618913857678
165,165,mean,5543.505617977527
166,166,mean,5549.868913857678
167,167,mean,5549.868913857678
168,168,mean,5549.868913857678
169,169,mean,5549.868913857678
170,170,mean,5549.868913857678
171,171,mean,5550.558988764045
172,172,mean,5550.558988764045
173,173,mean,5550.558988764045
174,174,mean,5550.558988764045
175,175,mean,5550.558988764045
176,176,mean,5550.558988764045
177,177,mean,5550.558988764045
178,178,mean,5553.5889513108605
179,179,mean,5558.0889513108605
180,180,mean,5558.0889513108605
181,181,mean,5558.0889513108605
182,182,mean,5563.868913857678
183,183,mean,5564.255617977527
184,184,mean,5564.255617977527
185,185,mean,5564.255617977527
186,186,mean,5564.255617977527
187,187,mean,5569.255617977527
188,188,mean,5569.255617977527
189,189,mean,5569.255617977527
190,190,mean,5572.868913857678
191,191,mean,5576.202247191012
192,192,mean,5576.202247191012
193,193,mean,5588.81554307116
194,194,mean,5588.81554307116
195,195,mean,5594.982209737827
196,196,mean,5595.148876404494
197,197,mean,5595.148876404494
198,198,mean,5609.958801498127
199,199,mean,5609.958801498127
200,200,mean,5609.958801498127
201,201,mean,5609.958801498127
202,202,mean,5609.958801498127
203,203,mean,5624.935393258427
204,204,mean,5624.935393258427
205,205,mean,5624.935393258427
206,206,mean,5624.685393258427
207,207,mean,5625.572097378277
208,208,mean,5625.572097378277
209,209,mean,5625.572097378277
210,210,mean,5625.572097378277
211,211,mean,5625.572097378277
212,212,mean,5626.40543071161
213,213,mean,5626.40543071161
214,214,mean,5626.40543071161
215,215,mean,5626.40543071161
216,216,mean,5626.40543071161
217,217,mean,5626.40543071161
218,218,mean,5626.40543071161
219,219,mean,5650.49531835206
220,220,mean,5650.49531835206
221,221,mean,5650.49531835206
222,222,mean,5650.49531835206
223,223,mean,5650.49531835206
224,224,mean,5671.22191011236
225,225,mean,5671.22191011236
226,226,mean,5671.22191011236
227,227,mean,5671.22191011236
228,228,mean,5671.22191011236
229,229,mean,5682.948501872659
230,230,mean,5682.948501872659
231,231,mean,5682.948501872659
232,232,mean,5682.948501872659
233,233,mean,5682.948501872659
234,234,mean,5682.948501872659
235,235,mean,5682.948501872659
236,236,mean,5682.948501872659
237,237,mean,5682.948501872659
238,238,mean,5682.948501872659
239,239,mean,5682.948501872659
240,240,mean,5682.751872659176
241,241,mean,5682.751872659176
242,242,mean,5682.751872659176
243,243,mean,5682.751872659176
244,244,mean,5682.751872659176
245,245,mean,5682.751872659176
246,246,mean,5683.085205992509
247,247,mean,5683.085205992509
248,248,mean,5683.085205992509
249,249,mean,5683.085205992509
250,250,mean,5683.085205992509
251,251,mean,5683.085205992509
252,252,mean,5688.948501872659
253,253,mean,5688.948501872659
254,254,mean,5688.948501872659
255,255,mean,5688.948501872659
256,256,mean,5688.948501872659
257,257,mean,5688.948501872659
258,258,mean,5688.948501872659
259,259,mean,5688.948501872659
260,260,mean,5688.948501872659
261,261,mean,5688.948501872659
262,262,mean,5688.948501872659
263,263,mean,5697.115168539326
264,264,mean,5697.115168539326
265,265,mean,5697.115168539326
266,266,mean,5697.115168539326
267,267,mean,5701.561797752809
268,268,mean,5701.561797752809
269,269,mean,5706.228464419476
270,270,mean,5706.228464419476
271,271,mean,5706.228464419476
272,272,mean,5706.228464419476
273,273,mean,5706.228464419476
274,274,mean,5706.228464419476
275,275,mean,5719.871722846442
276,276,mean,5728.318352059926
277,277,mean,5728.318352059926
278,278,mean,5728.318352059926
279,279,mean,5728.318352059926
280,280,mean,5728.318352059926
281,281,mean,5728.318352059926
282,282,mean,5728.318352059926
283,283,mean,5728.318352059926
284,284,mean,5728.318352059926
285,285,mean,5728.318352059926
286,286,mean,5728.318352059926
287,287,mean,5743.461610486891
288,288,mean,5743.461610486891
289,289,mean,5743.461610486891
290,290,mean,5743.461610486891
291,291,mean,5743.461610486891
