train,stations
train_1,"[s-Hertogenbosch, Utrecht Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Amsterdam Centraal, Amsterdam Amstel, Utrecht Centraal, Hilversum]"
train_2,"[Tilburg, Eindhoven, s-Hertogenbosch, Tilburg, Breda, Dordrecht, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Delft, Den Haag HS, Leiden Centraal, Alphen a/d Rijn]"
train_3,"[Delft, Den Haag Centraal, Leiden Centraal, Heemstede-Aerdenhout, Haarlem]"
train_4,"[Zwolle, Deventer]"
train_5,"[Amsterdam Zuid, Amsterdam Sloterdijk]"
train_6,"[Hoorn, Zaandam, Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum, Alkmaar]"
train_7,"[Hoorn, Alkmaar, Castricum, Alkmaar, Castricum, Zaandam, Amsterdam Sloterdijk, Haarlem, Amsterdam Sloterdijk, Haarlem, Amsterdam Sloterdijk, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Utrecht Centraal]"
train_8,"[Heerlen, Sittard, Heerlen, Sittard, Maastricht, Sittard, Roermond, Weert, Eindhoven, Helmond, Venlo]"
train_9,"[Alphen a/d Rijn, Utrecht Centraal, Amsterdam Amstel, Hilversum, Utrecht Centraal, Hilversum, Amsterdam Amstel, Almere Centrum]"
train_10,"[Dordrecht, Rotterdam Blaak, Dordrecht, Rotterdam Blaak, Dordrecht, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Gouda, Den Haag Laan v NOI, Leiden Centraal]"
train_11,"[Den Helder, Alkmaar, Castricum, Beverwijk, Zaandam]"
train_12,"[Groningen, Assen, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen]"
train_13,"[Zutphen, Deventer, Apeldoorn]"
train_14,"[Lelystad Centrum, Almere Centrum, Lelystad Centrum, Almere Centrum, Hilversum, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Oss]"
train_15,"[Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Apeldoorn, Amersfoort, Utrecht Centraal, Gouda, Den Haag Centraal, Gouda, Utrecht Centraal]"
train_16,"[Etten-Leur, Roosendaal, Dordrecht]"
train_17,"[Vlissingen, Roosendaal, Etten-Leur, Breda]"
train_18,"[Apeldoorn, Amersfoort, Zwolle, Almelo, Deventer, Almelo, Hengelo, Enschede, Hengelo]"
train_19,"[Alphen a/d Rijn, Gouda, Den Haag HS]"
train_20,"[Schiphol Airport, Leiden Centraal]"
score,5921.0
