train,stations
train_1,"[Utrecht Centraal, Gouda, Den Haag HS, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Rotterdam Blaak]"
train_2,"[Dordrecht, Breda, Tilburg, Breda, Etten-Leur, Roosendaal, Dordrecht]"
train_3,"[Amsterdam Sloterdijk, Zaandam, Hoorn, Alkmaar, Castricum, Zaandam, Castricum, Beverwijk, Haarlem, Beverwijk, Zaandam]"
train_4,"[Maastricht, Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch, Tilburg, Eindhoven, Helmond]"
train_5,"[Gouda, Alphen a/d Rijn, Leiden Centraal, Den Haag Laan v NOI, Gouda, Rotterdam Alexander, Rotterdam Blaak, Dordrecht]"
train_6,"[Oss, s-Hertogenbosch, Utrecht Centraal, Amsterdam Amstel, Almere Centrum, Lelystad Centrum, Almere Centrum, Amsterdam Centraal]"
train_7,"[Leiden Centraal, Den Haag HS, Delft, Den Haag Centraal, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Utrecht Centraal, Amsterdam Centraal]"
train_8,"[Hilversum, Utrecht Centraal, Amersfoort, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_9,"[Amsterdam Zuid, Amsterdam Amstel, Hilversum, Almere Centrum, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Leiden Centraal, Den Haag Centraal, Gouda]"
train_10,"[Almelo, Deventer, Zutphen, Apeldoorn, Amersfoort, Apeldoorn, Zutphen, Dieren, Arnhem Centraal]"
train_11,"[Alphen a/d Rijn, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Nijmegen, Oss]"
train_12,"[Enschede, Hengelo, Almelo, Zwolle, Deventer, Apeldoorn]"
score,6581.842696629214
